tf	series	ctl	case	cell-type	pert	species	additional-meta
ADAR	GSE55362	GSM1334732|GSM1334733	GSM1334730|GSM1334731	U87MG	KD	human	
ADARB1	GSE60217	GSM1467838|GSM1467842	GSM1467840|GSM1467844	HUVEC	KD	human	
ADAR	GSE60217	GSM1467837|GSM1467841	GSM1467839|GSM1467843	HUVEC	KD	human	
ADAR	GSE87198	GSM2325073|GSM2325074|GSM2325075|GSM2325076|GSM2325087|GSM2325088	GSM2325077|GSM2325079|GSM2325081|GSM2325083	hek293	OE	human	
ADAR	GSE88032	ENCODE	GSM2343224|GSM2343225	HEPG2	ShRNA	human	
ADAR	GSE88075	ENCODE	GSM2343301|GSM2343302	K562	shRNA	human	
AFF1	GSE69021	GSM1690209|GSM1690210	GSM1690211|GSM1690212	hela	shRNA	human	
AFF4	GSE69021	GSM1690209|GSM1690210	GSM1690213|GSM1690214	hela	shRNA	human	
AKAP8	GSE87946	ENCODE	GSM2343075|GSM2343076	K562	shRNA	human	
AKAP8	GSE88670	ENCODE	GSM2344383|GSM2344384	HEPG2	shRNA	hUman	
AKAP8L	GSE88551	ENCODE	GSM2344174|GSM2344175	HEPG2	shRNA	human	
AKAP8L	GSE88553	ENCODE	GSM2344178|GSM2344179	K562	shRNA	human	
ARID2	GSE69567	GSM1704033|GSM1704034|GSM1704035|GSM1704036|GSM1704037|GSM1704038	GSM1704028|GSM1704029|GSM1704030|GSM1704031|GSM1704032	HEPG2	SiRNA	human	
ARID3A	GSE88080	ENCODE	GSM2343310|GSM2343311|GSM2343312	K562	shRNA	human	
ARX	GSE73433	GSM1893650|GSM1893653|GSM1893656	GSM1893651|GSM1893655|GSM1893657	BCD	siRNA	human	
ASCL1	GSE87615	GSM2335507|GSM2335508|GSM2335509	GSM2335513|GSM2335514|GSM2335515	G523NS	KO	human	
ASCL1	GSE87617	GSM2335507|GSM2335508|GSM2335509	GSM2335522|GSM2335523|GSM2335524	G523NS	KO	human	
